Rk,Team_,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Atlanta,36.5,83.1,0.439,8.8,25.8,0.341,27.7,57.4,0.483,15.4,20.1,0.764,11.6,32.1,43.6,23.5,7.4,4.9,16.1,19.6,97.1,36.5,83.1,0.439,8.8,25.8,0.341,27.7,57.4,0.483,15.4,20.1,0.764,11.6,32.1,43.6,23.5,7.4,4.9,16.1,19.6,97.1,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185
2,Boston,38.1,84.7,0.45,7.4,22,0.336,30.7,62.7,0.49,17.6,23.3,0.755,10.9,33.8,44.7,21.9,7.1,5.3,15.1,18.8,101.2,38.1,84.7,0.45,7.4,22,0.336,30.7,62.7,0.49,17.6,23.3,0.755,10.9,33.8,44.7,21.9,7.1,5.3,15.1,18.8,101.2,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75,0.208
3,Brooklyn,38.4,84.3,0.456,8.5,23.7,0.358,29.9,60.6,0.494,15.6,21.3,0.731,11.4,32.9,44.3,23.7,7.8,4.5,13.9,20,100.9,38.4,84.3,0.456,8.5,23.7,0.358,29.9,60.6,0.494,15.6,21.3,0.731,11.4,32.9,44.3,23.7,7.8,4.5,13.9,20,100.9,-2.88,-0.25,-3.13,104.4,107.4,-3,92.7,0.267,0.24,0.529,0.491,13,23.9,0.2,0.506,12.9,73.7,0.185
4,Charlotte,36.8,83.7,0.44,7.9,22.1,0.357,28.9,61.5,0.47,15.8,20.4,0.772,8.9,35.2,44.1,22.1,6.1,5.4,12.6,20.8,97.3,36.8,83.7,0.44,7.9,22.1,0.357,28.9,61.5,0.47,15.8,20.4,0.772,8.9,35.2,44.1,22.1,6.1,5.4,12.6,20.8,97.3,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12,79.3,0.188
5,Chicago,37.7,86.7,0.435,6.6,19.6,0.335,31.2,67.1,0.465,15.7,21,0.749,11.7,31.7,43.4,20.2,7.5,5.4,12.2,21.2,97.8,37.7,86.7,0.435,6.6,19.6,0.335,31.2,67.1,0.465,15.7,21,0.749,11.7,31.7,43.4,20.2,7.5,5.4,12.2,21.2,97.8,3,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,0.489,12.9,27,0.238,0.473,11.3,74.4,0.182
6,Cleveland,38.1,83.5,0.456,7.7,22.5,0.343,30.3,61,0.497,14.8,19.9,0.745,10.8,30.3,41.1,24.1,7.8,4.5,13.3,20.5,98.7,38.1,83.5,0.456,7.7,22.5,0.343,30.3,61,0.497,14.8,19.9,0.745,10.8,30.3,41.1,24.1,7.8,4.5,13.3,20.5,98.7,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177
7,Dallas,38,84.5,0.45,9,24.8,0.364,29,59.7,0.485,17.3,22.9,0.753,12.3,33.9,46.1,22.3,7.3,3.8,16.3,22.1,102.3,38,84.5,0.45,9,24.8,0.364,29,59.7,0.485,17.3,22.9,0.753,12.3,33.9,46.1,22.3,7.3,3.8,16.3,22.1,102.3,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204
8,Denver ,38.6,84.3,0.458,7.7,22.2,0.346,30.9,62,0.498,20.1,26.9,0.748,11,34.1,45.1,23.1,7.5,6.1,14.4,20.7,105,38.6,84.3,0.458,7.7,22.2,0.346,30.9,62,0.498,20.1,26.9,0.748,11,34.1,45.1,23.1,7.5,6.1,14.4,20.7,105,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13,74.7,0.239
9,Detroit ,37.9,83.1,0.456,7.7,21.8,0.355,30.1,61.3,0.491,16,20.7,0.772,10.7,33.4,44.1,23.8,7,4.8,14,19.3,99.5,37.9,83.1,0.456,7.7,21.8,0.355,30.1,61.3,0.491,16,20.7,0.772,10.7,33.4,44.1,23.8,7,4.8,14,19.3,99.5,-1,-0.39,-1.39,105.3,106.4,-1.1,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75,0.192
10,Golden State,37,86.4,0.428,7.2,21.4,0.337,29.7,65,0.458,18.7,24.5,0.763,11.7,32.8,44.5,21,8.3,3.6,16.2,18.8,99.9,37,86.4,0.428,7.2,21.4,0.337,29.7,65,0.458,18.7,24.5,0.763,11.7,32.8,44.5,21,8.3,3.6,16.2,18.8,99.9,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217
11,Houston,37.7,85.2,0.443,7.4,22.9,0.322,30.3,62.2,0.487,17.7,23.6,0.751,11.9,32,43.8,21.4,8.9,5.3,16.4,21.1,100.5,37.7,85.2,0.443,7.4,22.9,0.322,30.3,62.2,0.487,17.7,23.6,0.751,11.9,32,43.8,21.4,8.9,5.3,16.4,21.1,100.5,3.44,0.38,3.82,107,103.4,3.6,96.5,0.312,0.392,0.548,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208
12,Indiana,36,82.7,0.435,7.2,20.9,0.345,28.8,61.8,0.465,17.9,23.8,0.753,9.8,33,42.7,19.9,7.5,4.7,12.7,21.4,97,36,82.7,0.435,7.2,20.9,0.345,28.8,61.8,0.465,17.9,23.8,0.753,9.8,33,42.7,19.9,7.5,4.7,12.7,21.4,97,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523,0.484,13.1,24,0.201,0.478,12,77.9,0.217
13,L.A. Clippers,36.4,82.3,0.442,8.3,23.9,0.349,28.1,58.4,0.481,19,25.7,0.741,10.6,32.3,42.9,23.2,6.7,3,14.3,21.5,100.1,36.4,82.3,0.442,8.3,23.9,0.349,28.1,58.4,0.481,19,25.7,0.741,10.6,32.3,42.9,23.2,6.7,3,14.3,21.5,100.1,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231
14,L.A. Lakers,38.8,83.1,0.466,8.5,23.4,0.363,30.3,59.7,0.507,19.2,25.8,0.745,10,34.1,44.2,24,7.5,4.8,13,19.4,105.3,38.8,83.1,0.466,8.5,23.4,0.363,30.3,59.7,0.507,19.2,25.8,0.745,10,34.1,44.2,24,7.5,4.8,13,19.4,105.3,-6.84,0.67,-6.17,103.4,110.6,-7.2,94,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231
15,Memphis,36,81.5,0.442,8.1,23,0.351,27.9,58.5,0.478,14.9,20.1,0.742,10.5,31.9,42.4,20.1,7.4,5.2,15.3,20.3,95.1,36,81.5,0.442,8.1,23,0.351,27.9,58.5,0.478,14.9,20.1,0.742,10.5,31.9,42.4,20.1,7.4,5.2,15.3,20.3,95.1,3.24,0.38,3.62,105.7,102.2,3.5,92,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183
16,Miami,36.1,79.5,0.454,8.1,23,0.353,28,56.5,0.495,17,23.2,0.73,10.9,30.1,41,21.3,7.9,4.4,14.8,20.9,97.3,36.1,79.5,0.454,8.1,23,0.353,28,56.5,0.495,17,23.2,0.73,10.9,30.1,41,21.3,7.9,4.4,14.8,20.9,97.3,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213
17,Milwaukee,35.6,81.5,0.437,8.2,24.1,0.342,27.3,57.4,0.476,18,24.3,0.742,11.4,31.4,42.9,22.3,8.6,4.8,17.4,20.1,97.4,35.6,81.5,0.437,8.2,24.1,0.342,27.3,57.4,0.476,18,24.3,0.742,11.4,31.4,42.9,22.3,8.6,4.8,17.4,20.1,97.4,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221
