Rk,Team_,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
18,Minnesota,41.1,84.5,0.487,8.5,23.1,0.367,32.6,61.4,0.531,15.8,20.8,0.759,11.6,31.9,43.6,23.6,8.4,5.5,15.2,21.4,106.5,41.1,84.5,0.487,8.5,23.1,0.367,32.6,61.4,0.531,15.8,20.8,0.759,11.6,31.9,43.6,23.6,8.4,5.5,15.2,21.4,106.5,-8.79,0.79,-8,102.9,112.2,-9.3,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187
19,New Orleans,37.9,83.1,0.456,6.5,19.6,0.335,31.4,63.5,0.494,16.2,21.4,0.759,10.6,30.9,41.5,20.7,6.8,5.8,12.2,18.7,98.6,37.9,83.1,0.456,6.5,19.6,0.335,31.4,63.5,0.494,16.2,21.4,0.759,10.6,30.9,41.5,20.7,6.8,5.8,12.2,18.7,98.6,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195
20,New York,37,80.4,0.46,8.5,22.3,0.38,28.5,58.1,0.49,18.8,24.8,0.759,11,32.5,43.5,21.7,8,4.3,14.1,19.1,101.2,37,80.4,0.46,8.5,22.3,0.38,28.5,58.1,0.49,18.8,24.8,0.759,11,32.5,43.5,21.7,8,4.3,14.1,19.1,101.2,-9.32,-0.18,-9.5,99.9,110,-10.1,91.2,0.234,0.24,0.508,0.47,14,24.5,0.18,0.512,13.3,73.1,0.234
21,Oklahoma City,37.6,85.5,0.44,8.3,24.2,0.343,29.3,61.3,0.479,18.2,24.5,0.745,11.2,31.5,42.7,22.1,7.8,4.6,13.6,20.4,101.8,37.6,85.5,0.44,8.3,24.2,0.343,29.3,61.3,0.479,18.2,24.5,0.745,11.2,31.5,42.7,22.1,7.8,4.6,13.6,20.4,101.8,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213
22,Orlando,38,82,0.463,8.3,22.6,0.368,29.6,59.4,0.499,17.2,22.9,0.751,10.1,33.4,43.5,23.4,7.7,5.4,14.5,17.9,101.4,38,82,0.463,8.3,22.6,0.368,29.6,59.4,0.499,17.2,22.9,0.751,10.1,33.4,43.5,23.4,7.7,5.4,14.5,17.9,101.4,-5.72,-0.15,-5.87,101.6,107.7,-6.1,93.8,0.23,0.235,0.524,0.494,14,23.1,0.168,0.514,13.6,76,0.21
23,Philadelphia,37.1,82.7,0.449,8,22.9,0.35,29.1,59.8,0.487,18.7,24.7,0.756,11.5,34.8,46.3,23.7,9.5,5.5,16.8,20.2,101,37.1,82.7,0.449,8,22.9,0.35,29.1,59.8,0.487,18.7,24.7,0.756,11.5,34.8,46.3,23.7,9.5,5.5,16.8,20.2,101,-8.98,-0.07,-9.04,95.5,104.8,-9.3,95.7,0.288,0.319,0.494,0.459,16,25.5,0.195,0.497,15.2,73,0.225
24,Phoenix,38.4,85,0.452,7.7,21.9,0.352,30.7,63.1,0.486,18.8,24.8,0.759,11.6,33.7,45.3,21.1,7.9,4.1,15.6,20.3,103.3,38.4,85,0.452,7.7,21.9,0.352,30.7,63.1,0.486,18.8,24.8,0.759,11.6,33.7,45.3,21.1,7.9,4.1,15.6,20.3,103.3,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14,73.5,0.221
25,Portland,38.2,86.9,0.439,6.4,18.9,0.338,31.8,67.9,0.468,15.8,20.9,0.758,11,33.6,44.6,20.4,8,3.6,12.2,18.7,98.6,38.2,86.9,0.439,6.4,18.9,0.338,31.8,67.9,0.468,15.8,20.9,0.758,11,33.6,44.6,20.4,8,3.6,12.2,18.7,98.6,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182
26,Sacramento,39.5,86.5,0.456,8.8,25.1,0.349,30.7,61.5,0.5,17.3,23.1,0.748,11,30.2,41.2,23.3,8.7,6.2,12.9,23.9,105,39.5,86.5,0.456,8.8,25.1,0.349,30.7,61.5,0.5,17.3,23.1,0.748,11,30.2,41.2,23.3,8.7,6.2,12.9,23.9,105,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2
27,San Antonio,37.1,83.7,0.444,6.8,18.9,0.36,30.3,64.8,0.468,15.9,21.4,0.745,9.9,32.2,42.1,20.7,7.9,4.4,14.2,19.7,97,37.1,83.7,0.444,6.8,18.9,0.36,30.3,64.8,0.468,15.9,21.4,0.745,9.9,32.2,42.1,20.7,7.9,4.4,14.2,19.7,97,6.2,0.14,6.34,108.5,102,6.5,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19
28,Toronto,38,82.8,0.459,7.7,22.3,0.346,30.3,60.5,0.501,17.2,23.5,0.733,11.2,31.2,42.5,22.8,6.9,5,14.4,20.3,100.9,38,82.8,0.459,7.7,22.3,0.346,30.3,60.5,0.501,17.2,23.5,0.733,11.2,31.2,42.5,22.8,6.9,5,14.4,20.3,100.9,3.07,-0.62,2.45,111,107.7,3.3,92.8,0.295,0.302,0.553,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208
29,Utah,35.8,80.3,0.446,7.4,20.4,0.362,28.4,60,0.474,16,21.5,0.744,9.9,29.3,39.2,19.4,8.2,4.7,13.1,19.6,94.9,35.8,80.3,0.446,7.4,20.4,0.362,28.4,60,0.474,16,21.5,0.744,9.9,29.3,39.2,19.4,8.2,4.7,13.1,19.6,94.9,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199
30,Washington,36.2,83.5,0.433,8,23,0.349,28.1,60.5,0.465,17.5,23.7,0.738,10,31.7,41.7,19.9,8,4.3,14,19.6,97.8,36.2,83.5,0.433,8,23,0.349,28.1,60.5,0.465,17.5,23.7,0.738,10,31.7,41.7,19.9,8,4.3,14,19.6,97.8,0.72,-0.55,0.17,103.7,103,0.7,93.7,0.259,0.203,0.534,0.499,14,24.9,0.192,0.481,12.9,77.3,0.21
