Rk,Team▲,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
13,L.A. Lakers,36.8,80.6,0.457,5.5,16.8,0.326,31.3,63.7,0.491,18.2,24.1,0.756,12.1,34.1,46.2,22.5,5.9,5.3,15.1,16.8,97.3,37.8,86.4,0.437,6.7,19.3,0.348,31,67.1,0.463,13.7,18.4,0.742,11.5,29.5,41,21.9,8.4,4.6,11.3,20.2,95.9,1.42,0.54,1.96,106,104.4,1.6,90.5,0.299,0.209,0.534,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158
14,Memphis,36.7,82.2,0.447,4.2,12.9,0.326,32.5,69.3,0.47,17.3,22.8,0.759,12.6,29.5,42,19.5,9.6,5.2,14.5,19.9,95,34.5,77.8,0.444,6.3,18.3,0.345,28.2,59.4,0.474,17.6,23.1,0.764,11,29.6,40.7,19.3,7.8,5.5,17.1,19.3,93,2.02,0.42,2.43,104,101.8,2.2,90.8,0.277,0.157,0.515,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227
15,Miami,37.1,79,0.469,5.6,15.6,0.359,31.5,63.4,0.496,18.8,24.2,0.775,10.4,31.2,41.6,20,8.9,5.4,15.2,19.4,98.5,34.6,79.8,0.434,7.3,20,0.363,27.4,59.8,0.457,16,22.1,0.725,11,28.7,39.8,19.7,8.3,4.2,16.8,20.5,92.5,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.307,0.198,0.549,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2
16,Milwaukee,37.9,85.6,0.443,6.6,19.2,0.345,31.3,66.5,0.471,16.6,21.4,0.774,12.4,30,42.5,23.5,8.3,5.1,14.1,19.3,99,37.1,82.6,0.449,6.6,18.9,0.351,30.5,63.7,0.478,17.9,23.3,0.769,12.3,32.4,44.7,21.7,7.6,4.5,15.9,19.4,98.7,0.27,-0.5,-0.23,105.5,105.2,0.3,93.7,0.25,0.224,0.521,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217
17,Minnesota,35.7,82.3,0.433,7.2,21.6,0.332,28.5,60.8,0.469,19.4,25.2,0.771,12.1,31.7,43.7,19.5,6.6,4.4,15.2,18.4,97.9,39,85.7,0.455,6.2,18.1,0.34,32.8,67.6,0.486,16,21.2,0.755,11.7,31.8,43.4,21.5,8.3,5.7,13.3,21.7,100.1,-2.2,0.37,-1.83,104.3,106.6,-2.3,93.3,0.306,0.262,0.524,0.477,14,27.5,0.236,0.491,12.2,73,0.187
18,Brooklyn,34.3,80.6,0.425,7.7,22.4,0.342,26.6,58.2,0.457,16.9,21.7,0.777,11.9,28.5,40.3,19.9,7.5,3.9,15.1,19.2,93.1,37.9,80.2,0.472,6.5,17.4,0.374,31.4,62.8,0.5,16.8,22.6,0.74,11.8,30.8,42.6,23.3,8,5,14.3,19.3,99.1,-5.98,-0.39,-6.37,102.9,109.6,-6.7,90.1,0.269,0.278,0.516,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209
19,New Orleans,34.8,77.3,0.451,3.9,11.8,0.333,30.9,65.5,0.472,16,21.2,0.757,11,30.2,41.1,20.7,7.4,4.8,15.5,20.1,89.6,34.9,78.6,0.444,6.4,20.3,0.317,28.5,58.3,0.489,17.1,22.5,0.759,11.1,28.9,40,20.9,7.9,5.8,13.9,18.7,93.4,-3.76,0.65,-3.11,100.9,105.1,-4.2,88.3,0.274,0.152,0.517,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218
20,New York,35.8,80.8,0.443,7.8,23.3,0.336,28,57.5,0.487,18.3,24.8,0.741,11.3,30.5,41.7,20.1,9.4,4.2,16,21.1,97.8,35.1,79.4,0.442,6.7,18.8,0.359,28.4,60.6,0.468,17.7,24.1,0.736,10.9,31,41.8,18.9,8.1,5.1,17,21.8,94.7,3.2,-0.81,2.39,104.4,101,3.4,93.2,0.306,0.288,0.533,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224
21,Oklahoma City,37.3,79.2,0.471,7.2,20,0.358,30.2,59.3,0.509,21.3,26.4,0.806,11,32.7,43.7,18.5,7.5,8.2,16.3,20.5,103.1,36.4,85.3,0.427,6.4,18.7,0.342,30.1,66.6,0.451,17.7,23,0.768,12.7,28.6,41.3,19.9,8.2,4.9,14.2,20,96.9,6.12,0.32,6.44,109.8,103.2,6.6,93,0.334,0.252,0.567,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207
22,Orlando,34.5,78.2,0.441,10.2,27,0.375,24.3,51.2,0.475,15.1,22.8,0.66,11.2,31.2,42.5,20,6.8,4.2,14.9,17.7,94.2,35.9,80.1,0.449,6.3,18.1,0.347,29.7,62,0.478,15.2,19.7,0.772,10.1,31.2,41.3,20.5,7.5,4.1,13.1,19.8,93.4,0.79,-0.33,0.46,105,104.1,0.9,89,0.292,0.346,0.533,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19
23,Philadelphia,37.4,83.6,0.448,5.3,14.6,0.362,32.2,69,0.466,13.5,18.2,0.742,10.7,32.5,43.2,22,8,5.2,11.2,17.5,93.6,34.3,80.3,0.427,5.4,16.2,0.334,28.9,64.1,0.45,15.4,20.5,0.752,10.7,33,43.7,19.6,5.9,4.8,13.9,16.2,89.4,4.24,-0.65,3.59,103.9,99.2,4.7,89.7,0.217,0.175,0.511,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192
24,Phoenix,37.8,82.5,0.458,6.7,19.6,0.343,31.1,62.9,0.494,16,21.2,0.757,10.9,30.8,41.7,22.5,6.5,5.5,14.1,18.7,98.4,38,83.5,0.455,6,17.1,0.352,31.9,66.3,0.481,16.7,21.9,0.762,12.2,31.3,43.4,21.5,8,4.4,14.1,19.6,98.6,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,0.257,0.238,0.536,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2
25,Portland,36.4,82.1,0.443,7.2,20.9,0.346,29.2,61.1,0.477,17.2,21.6,0.796,11.1,29.5,40.7,20.4,8,4.9,14.2,19,97.2,37.5,81,0.463,6.7,18.4,0.363,30.8,62.6,0.492,16.1,21.5,0.747,11.1,31.2,42.3,21.1,7.6,4.8,14.9,19.8,97.8,-0.62,0.41,-0.22,105.7,106.4,-0.7,91.2,0.263,0.255,0.531,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199
26,Sacramento,37.7,86.5,0.436,6.2,19.7,0.316,31.5,66.8,0.471,17.1,23.2,0.736,13.4,29.5,42.9,19.3,8.5,4.9,14.4,19.5,98.8,40.4,85,0.476,6.7,18.7,0.355,33.8,66.3,0.51,16.9,22.2,0.762,12.3,32.6,45,23.8,7.8,6.4,15.4,19.9,104.4,-5.68,0.73,-4.95,103.8,109.8,-6,94.7,0.268,0.228,0.51,0.472,13,29.1,0.197,0.515,13.9,70.5,0.199
27,San Antonio,39.6,82.8,0.478,8.4,21.3,0.393,31.2,61.5,0.507,16.2,21.6,0.748,10.3,32.6,43,23.2,7.4,4.4,13.6,17.3,103.7,38.1,84.2,0.452,6.2,17.7,0.353,31.8,66.6,0.478,14.1,18.7,0.756,10.3,30.9,41.2,19.6,7.4,5,13.7,18.8,96.5,7.17,0.11,7.28,110.9,103.2,7.7,92.9,0.261,0.257,0.562,0.528,12.8,25.1,0.195,0.489,12.9,76,0.168
28,Toronto,34.4,78.1,0.44,5.5,16.3,0.34,28.8,61.8,0.467,16.4,21.4,0.77,10.6,31.4,42,20.9,6.5,4.9,15.2,23.2,90.7,33.8,77.7,0.435,6.1,18.5,0.328,27.8,59.2,0.469,20.2,27.2,0.744,10.3,30.3,40.5,20.1,7.2,4.9,13.2,18.4,94,-3.3,-0.36,-3.67,100.8,104.5,-3.7,89.3,0.274,0.209,0.518,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26
29,Utah,38.2,83.8,0.456,4.1,12.8,0.323,34.1,71,0.48,19.1,25.3,0.754,13,31.1,44.2,21.8,8.3,5.8,14.2,21.8,99.7,36.4,80.5,0.453,6.5,19.1,0.34,29.9,61.4,0.488,19.7,26.2,0.754,11,30.1,41.2,20.5,7.5,5.7,14.7,20.7,99,0.62,0.3,0.92,106.8,106.1,0.7,91.4,0.302,0.153,0.525,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245
30,Washington,36.6,83,0.441,5.2,16.3,0.32,31.4,66.7,0.47,15.3,21,0.727,11.7,29.9,41.7,19.1,8,6.3,15.3,21.3,93.6,36.7,81.1,0.453,6.5,18.4,0.35,30.2,62.7,0.483,18.6,24.5,0.758,12.3,31.2,43.5,21.5,7.9,4.5,15.2,18.7,98.4,-4.8,-0.34,-5.14,101,106.2,-5.2,92.5,0.253,0.196,0.508,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229
